gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.045003689204167685e+01,1.144699569810005357e+02,1.217968642099933518e+01,-4.605069055437981118e-02,6.601050702953403793e-02,-8.037933558123712408e-02
3.045006363795721782e+01,1.144699894646024347e+02,5.871330696554745820e+00,8.662063977226306388e-01,6.378989568550995359e-02,1.408779200898994423e-02
3.044996680982034221e+01,1.144699838536667045e+02,-6.598496734396158692e-01,1.919783584097370710e+00,-1.051463004053037730e-03,1.103941674223096608e-01
3.045007392403385182e+01,1.144700313594434249e+02,1.237546150731922801e+01,2.861200382482978810e+00,1.901820460659494824e-02,-2.760336638338395029e-02
3.045008833929289693e+01,1.144699872439083776e+02,-1.103480472717339467e+01,3.925710897004571098e+00,-4.939262272040070151e-02,-1.037745812100045878e-02
3.045014315894059465e+01,1.144700359440387700e+02,9.754033168112422603e-01,4.973232349224198323e+00,5.478325521176015400e-02,6.499878072013237987e-03
3.045019159037914136e+01,1.144700583281111506e+02,-6.535247863339821883e+00,5.935829915391654055e+00,-1.555921822074951555e-03,-4.093087612388156965e-02
3.045026452148710661e+01,1.144699198282457075e+02,-3.748222909193637431e+00,6.846943960304133547e+00,-6.839134313843366064e-02,-1.502836950532882888e-02
3.045037846888914856e+01,1.144699226609504592e+02,-3.873478950368160589e+00,7.966031342508736124e+00,4.834175493361417275e-03,4.083482549378714133e-02
3.045034190013481989e+01,1.144700199849990554e+02,2.046151368835622097e+00,8.926483403184477083e+00,-4.585776035863067812e-02,1.327696283614556438e-01
3.045041707653909668e+01,1.144700402384347484e+02,4.903310339705463150e+00,1.000746833424860505e+01,1.405611064549237149e-02,3.729783684417326689e-02
3.045055114119319839e+01,1.144700106470980785e+02,2.881767029695770699e+00,1.088798017614800528e+01,-2.687265320907451533e-03,-1.194712176780282215e-01
3.045058505129645710e+01,1.144701407344620492e+02,-6.843568101938673820e+00,1.197450820758108847e+01,4.373417271514884463e-02,-1.907007733612424080e-02
3.045074864698029060e+01,1.144699894687359887e+02,-3.729434736293729458e+00,1.300403399478406108e+01,-9.082522121232808332e-02,-1.728960952079988331e-02
3.045085565343748257e+01,1.144700182435038727e+02,-8.643928749104642151e+00,1.387648632977828456e+01,5.851023590945139685e-02,-4.302275557974465092e-02
3.045100329790319194e+01,1.144699022019448904e+02,-1.006334403071271666e+01,1.503305165223018491e+01,-7.350344613185359754e-02,5.396809260931591246e-02
3.045112929433069482e+01,1.144700615167509028e+02,8.211645011138713812e+00,1.581508654659503676e+01,1.350744867041266464e-02,-3.950139618527137575e-02
3.045124002028068588e+01,1.144700466850697751e+02,1.251117615132543825e+01,1.691432515693695393e+01,9.889946266056411431e-03,-2.358502584029920947e-03
3.045144349283615881e+01,1.144700757108776372e+02,-6.537417883778326555e+00,1.798393407898842611e+01,-7.683141881106515803e-02,1.216819748032459958e-01
3.045164283786204962e+01,1.144699261390362039e+02,-7.648458130716394798e+00,1.890921394208956130e+01,-1.139007457335252695e-02,5.198413582612241429e-02
3.045177846761646379e+01,1.144700573896450635e+02,1.003570683534766417e+01,2.003336846951160055e+01,3.242227539503107769e-02,-1.753462077363022661e-02
3.045194701559100636e+01,1.144699942644389665e+02,2.078333684202549048e+00,1.930039342481560283e+01,4.985286885860857886e+00,-3.244003897632804362e-02
3.045219979490820705e+01,1.144700085779560794e+02,3.875710502835661764e+00,1.059560106004845359e+01,1.679420826696715707e+01,1.552358892717289841e-03
3.045216238619286031e+01,1.144703375940312924e+02,-3.094450628803277592e+00,-5.899906719974683078e+00,1.897206549525400732e+01,6.157734179680848796e-02
3.045198660268293622e+01,1.144704179856950077e+02,-6.505947239923910885e+00,-1.453350394212788999e+01,1.360005349025436061e+01,4.806319623128576385e-02
3.045192739094607148e+01,1.144706437150225469e+02,5.415882777804207571e+00,-1.808701370616821791e+01,8.547982804620577468e+00,6.876324273444982260e-02
3.045166514288482418e+01,1.144706786987259619e+02,-1.780950957225723580e-02,-1.921693473637969873e+01,5.257913426210165220e+00,7.267509945364129115e-03
3.045152629167723646e+01,1.144707892913199743e+02,-1.200505133904151700e+00,-1.970430755622733443e+01,3.120955546824479843e+00,2.348950386142017316e-02
3.045138610541373225e+01,1.144707485817073831e+02,8.336401224636256657e+00,-1.978434451151161966e+01,1.793636729960483844e+00,-5.532447892896870389e-02
3.045112876350956910e+01,1.144707994335508090e+02,-5.141113067362287126e+00,-1.986828885927109312e+01,1.040867693585307396e+00,3.766620334439557682e-02
3.045095576392557035e+01,1.144707833143680205e+02,-1.158005995670851007e+01,-1.993711739629442548e+01,6.283448032170543263e-01,-5.218055272951305223e-02
3.045081214891108345e+01,1.144707965484624452e+02,-4.187715749561746748e+00,-1.991572693846947928e+01,4.233872545283957067e-01,8.474891780829107990e-02
3.045071753541536452e+01,1.144706673325208754e+02,-5.628301344977255649e-01,-1.992528850931175555e+01,2.735771256243185179e-01,1.801071996665007044e-02
3.045040996251167442e+01,1.144708153763327374e+02,1.189840177301869950e+01,-1.989032393831216439e+01,1.663558543664983014e-01,-1.966197919415509435e-02
3.045025556697552460e+01,1.144707767071373326e+02,1.227018178697339224e+01,-1.986975757506755613e+01,1.357452477795316748e-01,-1.364764224405386889e-02
3.045008736536815519e+01,1.144707205376580106e+02,1.065025636669399312e+01,-1.994271568999947064e+01,9.143375227242084291e-02,4.587702729102660637e-02
3.044996055080996911e+01,1.144708111692008572e+02,-4.769998344918819022e+00,-1.988597212190719077e+01,-7.539205140313300080e-02,7.781490452808137448e-02
3.044979007026671880e+01,1.144707720374408382e+02,-2.122604209952657861e+00,-1.994793621133249317e+01,5.752056453589565049e-02,-7.924165105888027888e-03
3.044949787832209864e+01,1.144708617902084740e+02,5.260478744913346105e+00,-1.996563076790926061e+01,-1.009609080682753041e-02,-1.489787943998170661e-02
3.044939811697711818e+01,1.144708145176352190e+02,5.226386785160226367e+00,-1.989978840337113652e+01,4.741670759133336660e-02,3.593311473692634150e-02
3.044923082571487427e+01,1.144708354693928669e+02,-7.471283045176238424e+00,-1.988990968760698763e+01,-1.607676968546715643e-02,-1.056303645144548477e-02
3.044898400459362264e+01,1.144706728555022863e+02,7.918190634224805180e+00,-1.987514191213350401e+01,3.296546592158614702e-02,-5.953280060174304111e-02
3.044881950558830042e+01,1.144707471609593199e+02,-4.101421596288068905e+00,-1.986902383867020916e+01,-2.608739206270179259e-02,-2.864705596623067993e-02
3.044865544101164900e+01,1.144708270786882309e+02,1.502742201976151826e+00,-1.992482202773518907e+01,-1.395804596821188098e-02,1.675429837628139226e-02
3.044844437845722851e+01,1.144708053592392503e+02,-1.092596131108948576e+01,-1.993353505481425358e+01,-6.505891042646813616e-02,-1.533353334909254989e-02
3.044830074264111985e+01,1.144707159588902954e+02,-2.880537543266293632e+00,-1.986572850066566787e+01,3.727239667388584921e-02,-3.746093609210604525e-02
3.044812787764924877e+01,1.144708044507654563e+02,3.091260363444041648e+00,-1.984033434446989830e+01,-1.908770670657477034e-02,3.774411088146657160e-03
3.044802233245056655e+01,1.144706594978788701e+02,9.269118299025436158e+00,-1.999315037708130305e+01,-9.423147110091373291e-02,-2.884719466429535098e-02
3.044777914350095926e+01,1.144707552352984692e+02,-2.098955789192463506e+00,-1.994130100658080806e+01,-4.543479238207128595e-02,2.910849676804530203e-02
3.044754701777799255e+01,1.144707790227453188e+02,3.733074606854530408e+00,-1.986121511927314742e+01,3.098039645127169048e-03,2.619210240003950335e-02
3.044737780707825436e+01,1.144707938971856009e+02,1.259251214892898396e+01,-1.991642837640441854e+01,-4.763739544060122122e-02,6.744890521514797233e-02
3.044720197176135557e+01,1.144707857490455609e+02,6.126783364512396801e+00,-1.989937137766867536e+01,1.942490074118396332e-02,-1.119461088453793107e-01
3.044707263894857618e+01,1.144709041711219157e+02,4.001888167656259654e+00,-1.993439826424607375e+01,6.397805586251252563e-02,2.656172311179501311e-02
3.044698914799826639e+01,1.144707280011860320e+02,-1.739641781570635093e+00,-1.998755675676994770e+01,1.095669001748051340e-02,-1.405496722319827044e-02
3.044670831276880207e+01,1.144707958935760388e+02,-2.362472898536984722e+00,-1.976946786902573194e+01,1.878718452238409969e-02,-1.180485296150190523e-02
3.044652936950293665e+01,1.144708337782365248e+02,-4.963828274733819157e+00,-1.997966739700498451e+01,-6.670683497818227781e-03,1.134440563590667812e-02
3.044634727783087413e+01,1.144708095958921348e+02,8.875960883295215709e+00,-1.986402984708513486e+01,-2.218039763261643940e-02,-5.392898070361822754e-02
3.044617672560970334e+01,1.144707505504652261e+02,6.442236730647858955e+00,-1.990241331013252335e+01,-3.844645589416916670e-02,3.252468255505810285e-02
3.044594580613997081e+01,1.144708147293744247e+02,-4.370211351170702474e-01,-1.993125393936038137e+01,-1.361888182657073065e-01,-7.209568266304730577e-02
3.044586758999107445e+01,1.144706905531854488e+02,2.617555382525904140e+00,-1.986466957535047229e+01,-9.907317720895760307e-03,8.271722700483799540e-02
3.044561351856473763e+01,1.144708091950614488e+02,1.731223979179593808e+00,-1.994464009459311171e+01,-4.297238637429456193e-02,1.908133996035013200e-02
3.044539880465796600e+01,1.144707576348446452e+02,-8.835354218180292207e+00,-1.994741886267722819e+01,1.766351675959810380e-02,-1.472583744503523986e-02
3.044522902010456278e+01,1.144708513531010965e+02,1.207262070399236187e+01,-1.997258619131465807e+01,-8.228987312608607163e-02,-1.750821273395888888e-02
3.044507211206044417e+01,1.144708761184070482e+02,8.034557068171755745e+00,-1.995572887474810742e+01,-9.574134370654716064e-02,3.162038438941224688e-02
3.044491319903786675e+01,1.144708549402801907e+02,-5.176820193571860962e+00,-1.991464324111183970e+01,5.112246295972053267e-02,4.717225077210894513e-02
3.044476478905800576e+01,1.144708597216648656e+02,-4.154589286515404822e+00,-1.982623018574958351e+01,-7.037361628389682960e-03,-1.417901014871377277e-02
3.044451783608922213e+01,1.144707801008766239e+02,1.453308594582856106e+00,-1.982258914279429618e+01,-6.556299129720113972e-02,-1.223867386750087001e-02
3.044430720633232568e+01,1.144707879130268537e+02,-4.762230148933955576e+00,-1.994046247246864567e+01,-1.816185347091753277e-02,-3.616426085241943988e-03
3.044421941940018428e+01,1.144708029489533345e+02,-3.827788467356603164e+00,-1.988728658639175251e+01,-7.735767337434831803e-02,-7.372488082754345695e-02
3.044401201360377485e+01,1.144706975501150907e+02,1.999055226154566878e+00,-1.993451501679406235e+01,4.331074785494946205e-02,6.337844188486518870e-02
3.044376368076936146e+01,1.144707477216411036e+02,-1.573460559663891756e+00,-1.983827577616563076e+01,-8.872960476370374619e-03,4.465833077113916944e-02
3.044358702934992778e+01,1.144706987180125282e+02,6.594122489657895159e+00,-1.933056324828762484e+01,5.028334200899475803e+00,-8.207884132243446762e-02
3.044350275868310973e+01,1.144709154715336155e+02,3.169640490417874990e+00,-1.071958826965174616e+01,1.677413745987467664e+01,-2.985654129403526175e-02
3.044351632445330580e+01,1.144711570657288604e+02,7.033223306537315977e+00,5.998636409904078093e+00,1.897945724885329000e+01,7.604157898515757907e-02
3.044356654487776837e+01,1.144712925525529101e+02,-1.287954029646289733e+01,1.449193799451135689e+01,1.352459401943569617e+01,6.542645715996326392e-04
3.044372803970828656e+01,1.144714235577522459e+02,-6.543987807307586557e+00,1.792224667256418513e+01,8.474854818592730155e+00,4.277268629860597055e-02
3.044399888032960888e+01,1.144714318503032047e+02,-9.689500435162399228e+00,1.915265388474280783e+01,5.114855504846175016e+00,4.808777379529796669e-02
3.044409928714281932e+01,1.144715154933376766e+02,8.445214823687431149e+00,1.964031198816341472e+01,3.066396160103649571e+00,7.410228946908335723e-02
3.044421085218132106e+01,1.144715067553076437e+02,-3.558796279156442033e+00,1.984342872087325205e+01,1.808852829738348822e+00,4.136395735379444147e-03
3.044443473895658414e+01,1.144715122597640828e+02,1.291472545917911674e+01,1.988105578161204434e+01,1.080292586295609647e+00,-2.013135320867318750e-02
3.044461039320997742e+01,1.144714784601156197e+02,-7.850761073222418673e+00,1.983025352009321196e+01,5.599832501379932159e-01,4.472016673352487842e-02
3.044472643001058643e+01,1.144716263150434088e+02,5.770118363445425835e+00,1.993332453066291876e+01,3.851276553058706753e-01,-9.485038219901052725e-02
3.044492443628878320e+01,1.144714985730091001e+02,1.165766312578082520e+01,2.000300714406885660e+01,2.578749288302135123e-01,-8.211034570421416046e-02
3.044513231986296731e+01,1.144715933508533112e+02,1.561276298366854443e+00,1.996097424472787552e+01,6.910761368810325322e-02,1.417816126040438848e-04
3.044522743477318372e+01,1.144716206365552154e+02,-5.811729619991500506e+00,1.995465054316429132e+01,1.283901936660078180e-01,-4.719640301700286922e-02
3.044543322315530176e+01,1.144716571358874404e+02,-1.046473341531303225e+00,1.983333247054549275e+01,3.725595542711271357e-02,-4.766758186098271621e-02
3.044575946022751012e+01,1.144715261797443162e+02,5.156431251631270196e-02,2.002726288813672539e+01,4.621961070435960661e-02,-3.398645876905719704e-02
3.044594690660732539e+01,1.144715413043874008e+02,-1.446434851122665854e+01,1.988681773677189568e+01,1.023108984093817550e-02,3.938676106031183122e-02
3.044602031940455333e+01,1.144715298284593814e+02,-7.310918913841298661e+00,1.998297640594432423e+01,4.634130898004430038e-02,8.522847497115839874e-03
3.044619012957078397e+01,1.144715206144568782e+02,3.346488757532427583e-01,1.996826400223343612e+01,3.675395191483513818e-02,-6.020196003559106362e-02
3.044635570262768809e+01,1.144715684520706844e+02,-1.673891544290905387e+01,1.990567273568231954e+01,-1.102143377751648064e-02,9.435256794974578032e-02
3.044650281035949391e+01,1.144716155732143363e+02,2.164122439580248169e+01,2.002003869457861285e+01,-8.091948866831520648e-02,7.766526923109592917e-02
3.044677426478583371e+01,1.144715485113746496e+02,5.631132941686804116e+00,1.983074510294037651e+01,-6.229564424607857837e-02,-1.696856841359991458e-02
3.044686974394369372e+01,1.144716355651968342e+02,8.053750031588677860e-01,1.993263685488637904e+01,2.212545364979954035e-02,1.021281680628877316e-02
3.044715447105193107e+01,1.144716024663767513e+02,-1.084891713367245103e+01,1.987670952989891404e+01,2.858220486196222723e-02,2.319406111361234368e-02
3.044730497510365552e+01,1.144715615169787242e+02,3.272286054454753845e-02,1.998937217777995912e+01,4.525927639734735053e-02,-1.694750068601879949e-04
3.044748228345145336e+01,1.144716732410120130e+02,1.789360180192812455e-01,1.990762432490619105e+01,-1.263406294734756817e-02,-6.007250241643766198e-03
3.044766498599178561e+01,1.144716092116739645e+02,3.862204777658237553e+00,1.995180992903133443e+01,-8.375795956829105993e-02,-6.627900984951808072e-02
3.044785763384617283e+01,1.144715602121570015e+02,6.688043181437872686e-01,1.997593018817046229e+01,-2.183851564296874007e-02,-5.750433688778087277e-02
3.044791327706736084e+01,1.144715031160806689e+02,-3.922823176314294003e+00,1.997927715015143946e+01,3.625038849894077989e-03,9.696370362624341654e-02
3.044813997277182693e+01,1.144715899763392741e+02,1.328578131223804970e+00,1.985713685321386279e+01,-5.383212472814657978e-02,5.635768100361134014e-02
3.044834748587958373e+01,1.144714815443592926e+02,-1.707979241389705027e+00,2.005909708047792961e+01,4.490220807851661583e-02,3.871081195521766920e-03
3.044853602278878313e+01,1.144715502902203212e+02,-5.535693262801725467e+00,1.984220951186123472e+01,2.095877823305711610e-02,-3.180140612496624303e-02
3.044874866328661511e+01,1.144715279807523416e+02,-2.029730964648329916e+00,1.983922071858934544e+01,4.667241677937505190e-02,-6.371361268144927481e-02
3.044889178541185260e+01,1.144716019448342053e+02,8.173816355404264655e+00,1.997962823556452960e+01,2.017299326484838645e-02,4.143919518970909897e-03
3.044902847608646823e+01,1.144716413928969700e+02,-6.605855601978642966e+00,1.983132917304748943e+01,6.182636021620580707e-02,-3.029275529477964968e-02
3.044930971683093190e+01,1.144715398942631026e+02,2.934786137537971573e+00,1.987889593115998110e+01,5.939161652323607377e-02,4.872359155757634980e-02
3.044941961411288389e+01,1.144714567875602000e+02,1.966263409804849616e+01,1.990976103993023472e+01,-5.569888770513348186e-02,3.155851798320280510e-02
3.044971029776853655e+01,1.144716064052731497e+02,2.458300235284398561e+00,1.989876495880786678e+01,3.776067593773474451e-02,5.455201884447265226e-02
3.044979782921342348e+01,1.144716109970986366e+02,-2.192751848901530565e+01,1.988721553896703043e+01,-9.842857701941010520e-03,3.231483725966491621e-04
3.044996119171110749e+01,1.144715387307961123e+02,3.472406637897445414e+00,1.990528027220931051e+01,3.261870456005329377e-02,3.993829699654499743e-02
3.045014170695732147e+01,1.144715573307450427e+02,1.487098965150725505e+01,1.983643446807624144e+01,-1.006584672355761816e-02,-3.514316173564455831e-02
3.045043305128288580e+01,1.144715572048582715e+02,-7.051805821320797918e+00,1.988453352326055423e+01,1.689129695059414862e-02,1.584344626172405623e-02
3.045054142234257100e+01,1.144715154066901448e+02,3.773572862007357198e+00,1.994380031104737938e+01,4.020759889609690219e-02,4.381169605767117059e-02
3.045069994075353392e+01,1.144714572772603560e+02,8.385104277829902308e-01,1.993323935906253652e+01,4.490216051845571238e-02,-1.437194711549649451e-01
3.045085622708706552e+01,1.144715215118776257e+02,7.946220673745871821e+00,2.003976599640783718e+01,7.071998329280800022e-02,6.259791952157474360e-02
3.045113097640381739e+01,1.144715873805533874e+02,4.834568723414612634e+00,1.991071549935660556e+01,6.265054248446361163e-02,5.244283038433397715e-02
3.045124041727454411e+01,1.144715652642014163e+02,7.142699851897748253e+00,1.994199160490961376e+01,3.157407233057424323e-02,4.385764888049913102e-02
3.045139866148210217e+01,1.144715710792640806e+02,-2.591179024750296822e+00,1.983445376957067552e+01,1.855027391663142608e-02,-1.182025713649729748e-01
3.045162683785302349e+01,1.144715742865726185e+02,3.765701759885542899e+00,1.990402685344836797e+01,-1.740932578474969558e-02,-9.822723827948465214e-03
3.045178907072050123e+01,1.144715479696356795e+02,-1.346283980845251094e+01,1.990676443343086177e+01,2.013792157481462952e-02,-3.055961847202573120e-02
3.045200006224536793e+01,1.144715744482002435e+02,-5.383137379339373751e+00,1.927219798440650678e+01,4.954193331138883494e+00,5.851558147202946640e-03
3.045204180000651561e+01,1.144718085148157911e+02,1.604318291818834785e+00,1.064568519954685222e+01,1.679704350396998080e+01,-4.463108935693665957e-02
3.045216394872790744e+01,1.144718411829520903e+02,-2.728978267747758757e+00,-5.921145359447870682e+00,1.898824214642429453e+01,-2.089332804384940248e-02
3.045204558335550971e+01,1.144720610337489290e+02,-4.956101230308831873e+00,-1.451113221412368937e+01,1.355517304163887715e+01,2.039308496251815775e-02
3.045184945349759786e+01,1.144721656093492612e+02,-6.989246435103136257e+00,-1.798043048354033147e+01,8.580501240505132188e+00,-1.348167547478144185e-02
3.045170424499145057e+01,1.144722285525269427e+02,4.357642286033785339e+00,-1.919155454298280716e+01,5.169867596303610924e+00,-1.520762224999942791e-02
3.045155081675480702e+01,1.144722147051488150e+02,-5.568067950988226933e+00,-1.965808807916604550e+01,3.114932519586750992e+00,-1.127534137151195047e-03
3.045132744844354278e+01,1.144722531413131890e+02,-4.794015579608819522e+00,-1.984756718361465033e+01,1.760375926788159795e+00,9.125751874337491298e-02
3.045120767206137913e+01,1.144722522337524708e+02,7.224751123694759691e+00,-1.987616861402258550e+01,1.109364325846399657e+00,-3.178677631934873071e-02
3.045098730723222502e+01,1.144723881630695388e+02,-1.436873455025611535e-01,-1.997505881852685050e+01,6.828519444811855799e-01,9.167965982008025386e-03
3.045082463688476082e+01,1.144723311330710089e+02,4.801341013387791179e+00,-1.996875328697822383e+01,4.266932735742698379e-01,-8.486619735332609493e-02
3.045059028777295396e+01,1.144723734550484551e+02,-8.585599812570691824e+00,-1.991165354223338824e+01,1.257656471196046677e-01,7.317935573254084891e-02
3.045035332312831855e+01,1.144723658369473895e+02,2.127422582505159809e+00,-1.990235949165278484e+01,1.668142111673217576e-01,5.373925752108706100e-02
